sentence_id,lime_spearman,lime_var,lime_jacc_k5,lime_jacc_k10,fuse_spearman,fuse_var,fuse_jacc_k5,fuse_jacc_k10,verdict_vs_LIME
1,0.03348125520292334,5.5124899811484935e-06,0.02222222222222222,0.026900584795321637,0.4358565053385801,1.5051882310708871e-06,0.1388888888888889,0.08255933952528378,Stable
2,0.046483819758928645,1.5615310583269528,0.15277777777777776,0.1001031991744066,0.47952417348405,0.39060959715019633,0.30357142857142855,0.23251633986928102,Stable
3,0.07794798095462513,1.0595595484396851,0.47619047619047616,0.2602941176470588,0.390880303223225,0.2715961490133376,0.7428571428571429,0.46446886446886443,Stable
4,0.061481074802146915,0.00045659233841734126,0.01111111111111111,0.015789473684210527,0.4236443349701771,0.00011731370993055489,0.15674603174603174,0.11468008255933952,Stable
5,0.8952914798206277,0.5140214651524592,0.8,1.0,0.9818461538461539,0.14452377450989223,0.8666666666666666,0.9272727272727274,Stable
6,0.8855409296585766,1.3315360599622332,0.5952380952380952,0.8242424242424242,0.9827788391857171,0.5496928430650858,1.0,1.0,Stable
7,0.05326120259066245,5.8018638529033395e-06,0.02222222222222222,0.021052631578947368,0.488541099024852,1.8856741736571585e-06,0.25,0.20931372549019608,Stable
8,0.6715652879156528,1.7169420548236647,1.0,1.0,0.9860587297119807,0.5632322930693692,1.0,1.0,Inconclusive
9,0.7708677685950412,1.260831087519309,0.8666666666666666,0.8545454545454547,0.9719288415744503,0.5156039020538028,0.8666666666666666,0.7326340326340327,Inconclusive
10,0.07713848274518878,0.001959094622694901,0.01111111111111111,0.015789473684210527,0.494895643630964,0.0004955973642624108,0.125,0.07017543859649122,Stable
