metric,compare,stat,p_value,mean,ci_lo,ci_hi
AOPC_del,fused>random,48.0,0.0185546875,,,
AOPC_del,fused>least,48.0,0.0185546875,,,
AOPC_del_fused_mean,,,,0.21559694139767088,0.019344988360381316,0.4118488944349604
AOPC_del_random_mean,,,,0.03336789371445775,-0.014826075332464508,0.08156186276138001
AOPC_del_least_mean,,,,0.03874391818884759,-0.12782142604125515,0.20530926241895034
AOPC_ins_fused_mean,,,,0.24458753814746154,0.08297168439119262,0.40620339190373045
Comp_fixed_mean,,,,0.16017311736941336,0.04664858216299028,0.27369765257583645
Suff_fixed_mean,,,,-0.2795212810946396,-0.4359828515713625,-0.12305971061791665
Corr_spearman_mean,,,,0.12639418007629738,-0.037125841743820914,0.2899142018964157
Corr_kendall_mean,,,,0.09569738582121756,-0.031272298841888174,0.2226670704843233
Infidelity_mean,,,,514.1010802999396,-112.57620633274848,1140.7783669326277
