sentence_id,order,K,aopc_del,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1,fused,20,1.088082790374756e-05,0.9999038577079773,0.9999038577079773,0.9999076724052429,0.9999076724052429,0.9999048113822937,0.9999048113822937,0.9999014139175415,0.9999014139175415,0.9999014139175415,0.9999014139175415,0.9999014139175415,0.9999024868011475,0.9998799562454224,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998819828033447,0.9998694658279419
1,random,20,-5.424022674560547e-06,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999069571495056,0.9999069571495056
1,least,20,-1.7523765563964843e-06,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713
2,fused,20,1.2642145156860351e-05,0.999958336353302,0.999958336353302,0.9999579191207886,0.9999579191207886,0.9999576807022095,0.9999575614929199,0.9999575614929199,0.9999575614929199,0.9999575614929199,0.9999509453773499,0.9999480843544006,0.9999480843544006,0.9999480843544006,0.999947190284729,0.9999445080757141,0.9999445080757141,0.9999445080757141,0.9999445080757141,0.9999445080757141,0.9998841881752014,0.9999026656150818
2,random,20,3.129243850708008e-07,0.999958336353302,0.9999582767486572,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999581575393677,0.9999582767486572,0.9999582767486572,0.999957799911499,0.999957799911499,0.999957799911499,0.999957799911499,0.999957799911499,0.9999577403068542,0.9999577403068542,0.9999577403068542,0.9999577403068542
2,least,20,0.0,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302
3,fused,20,0.3818002104759216,0.9999584555625916,0.9999569058418274,0.9998226165771484,0.9998226165771484,0.9999034404754639,0.7293806672096252,0.5871738195419312,0.5028365254402161,0.5033721923828125,0.5146446824073792,0.5157456994056702,0.5091984868049622,0.5001382231712341,0.5003184080123901,0.5002305507659912,0.5001052021980286,0.5000868439674377,0.5001278519630432,0.5000975728034973,0.500091552734375,0.5001110434532166
3,random,20,8.940696716308594e-08,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999583959579468,0.9999583959579468,0.9999583959579468,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572
3,least,20,0.0,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916
4,fused,20,1.4182925224304199e-05,0.9999541640281677,0.9999541640281677,0.9999537467956543,0.9999536275863647,0.9999537467956543,0.9999533891677856,0.99995356798172,0.99995356798172,0.9999541640281677,0.9999546408653259,0.9999546408653259,0.9999544024467468,0.9999529719352722,0.9999526739120483,0.9999513626098633,0.9999038577079773,0.9999061822891235,0.9999068975448608,0.9999088048934937,0.9999088048934937,0.9999144077301025
